<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200320,100100,80397.0000000,80397.0000000,79180.0000000,79318.0000000,22301
20200320,100200,79316.0000000,79319.0000000,79200.0000000,79256.0000000,7733
20200320,100300,79255.0000000,79399.0000000,79248.0000000,79348.0000000,9901
20200320,100400,79348.0000000,79426.0000000,79327.0000000,79389.0000000,10727
20200320,100500,79389.0000000,79419.0000000,79353.0000000,79372.0000000,5316
20200320,100600,79373.0000000,79423.0000000,79353.0000000,79415.0000000,5478
20200320,100700,79420.0000000,79524.0000000,79415.0000000,79442.0000000,9588
20200320,100800,79459.0000000,79575.0000000,79443.0000000,79561.0000000,5590
20200320,100900,79568.0000000,79600.0000000,79540.0000000,79555.0000000,4810
20200320,101000,79563.0000000,79743.0000000,79552.0000000,79718.0000000,11324
20200320,101100,79715.0000000,79844.0000000,79679.0000000,79800.0000000,11326
20200320,101200,79807.0000000,80000.0000000,79787.0000000,79980.0000000,24279
20200320,101300,79980.0000000,80200.0000000,79971.0000000,80031.0000000,26172
20200320,101400,80029.0000000,80046.0000000,79907.0000000,79908.0000000,13028
20200320,101500,79909.0000000,79928.0000000,79800.0000000,79850.0000000,11118
20200320,101600,79849.0000000,79904.0000000,79800.0000000,79901.0000000,6519
20200320,101700,79892.0000000,79903.0000000,79650.0000000,79656.0000000,10875
20200320,101800,79656.0000000,79703.0000000,79561.0000000,79690.0000000,9915
20200320,101900,79691.0000000,79781.0000000,79689.0000000,79738.0000000,6837
20200320,102000,79740.0000000,79750.0000000,79680.0000000,79682.0000000,7647
20200320,102100,79682.0000000,79776.0000000,79682.0000000,79711.0000000,3822
20200320,102200,79718.0000000,79727.0000000,79620.0000000,79629.0000000,4528
20200320,102300,79629.0000000,79716.0000000,79607.0000000,79695.0000000,5274
20200320,102400,79693.0000000,79705.0000000,79588.0000000,79596.0000000,3943
20200320,102500,79605.0000000,79614.0000000,79566.0000000,79582.0000000,1604
20200320,102600,79584.0000000,79589.0000000,79435.0000000,79435.0000000,7849
20200320,102700,79436.0000000,79468.0000000,79382.0000000,79385.0000000,6529
20200320,102800,79390.0000000,79391.0000000,79243.0000000,79271.0000000,10204
20200320,102900,79260.0000000,79270.0000000,79185.0000000,79212.0000000,16873
20200320,103000,79209.0000000,79284.0000000,79199.0000000,79270.0000000,8836
20200320,103100,79276.0000000,79276.0000000,79200.0000000,79234.0000000,8174
20200320,103200,79234.0000000,79264.0000000,79213.0000000,79249.0000000,6099
20200320,103300,79250.0000000,79464.0000000,79250.0000000,79363.0000000,15374
20200320,103400,79363.0000000,79457.0000000,79308.0000000,79396.0000000,11348
20200320,103500,79401.0000000,79422.0000000,79320.0000000,79419.0000000,4674
20200320,103600,79418.0000000,79525.0000000,79375.0000000,79404.0000000,9257
20200320,103700,79405.0000000,79420.0000000,79315.0000000,79342.0000000,5171
20200320,103800,79343.0000000,79361.0000000,79242.0000000,79282.0000000,9852
20200320,103900,79286.0000000,79300.0000000,79240.0000000,79250.0000000,5335
20200320,104000,79247.0000000,79353.0000000,79225.0000000,79328.0000000,8983
20200320,104100,79328.0000000,79333.0000000,79273.0000000,79307.0000000,4230
20200320,104200,79304.0000000,79320.0000000,79233.0000000,79276.0000000,9376
20200320,104300,79280.0000000,79344.0000000,79266.0000000,79319.0000000,3920
20200320,104400,79316.0000000,79352.0000000,79272.0000000,79299.0000000,5840
20200320,104500,79299.0000000,79335.0000000,79225.0000000,79240.0000000,5793
20200320,104600,79236.0000000,79287.0000000,79219.0000000,79259.0000000,5289
20200320,104700,79259.0000000,79321.0000000,79233.0000000,79283.0000000,4896
20200320,104800,79277.0000000,79294.0000000,79202.0000000,79253.0000000,8300
20200320,104900,79247.0000000,79308.0000000,79205.0000000,79304.0000000,5876
20200320,105000,79299.0000000,79321.0000000,79226.0000000,79290.0000000,7158
20200320,105100,79286.0000000,79314.0000000,79200.0000000,79203.0000000,8915
20200320,105200,79202.0000000,79266.0000000,79111.0000000,79211.0000000,18582
20200320,105300,79209.0000000,79219.0000000,79111.0000000,79156.0000000,10931
20200320,105400,79156.0000000,79213.0000000,79134.0000000,79197.0000000,6139
20200320,105500,79198.0000000,79227.0000000,79160.0000000,79189.0000000,7397
20200320,105600,79186.0000000,79187.0000000,79096.0000000,79122.0000000,8723
20200320,105700,79127.0000000,79161.0000000,79093.0000000,79158.0000000,11654
20200320,105800,79156.0000000,79189.0000000,79115.0000000,79136.0000000,4893
20200320,105900,79136.0000000,79153.0000000,79078.0000000,79105.0000000,5267
20200320,110000,79108.0000000,79194.0000000,79096.0000000,79132.0000000,10368
20200320,110100,79135.0000000,79192.0000000,79113.0000000,79143.0000000,7759
20200320,110200,79140.0000000,79229.0000000,79112.0000000,79205.0000000,8940
20200320,110300,79209.0000000,79263.0000000,79165.0000000,79199.0000000,6203
20200320,110400,79195.0000000,79232.0000000,79113.0000000,79113.0000000,4000
20200320,110500,79116.0000000,79138.0000000,79000.0000000,79029.0000000,15841
20200320,110600,79028.0000000,79038.0000000,78900.0000000,78907.0000000,11785
20200320,110700,78901.0000000,78909.0000000,78822.0000000,78849.0000000,8505
20200320,110800,78848.0000000,78965.0000000,78836.0000000,78914.0000000,11422
20200320,110900,78907.0000000,78915.0000000,78826.0000000,78876.0000000,12449
20200320,111000,78881.0000000,78969.0000000,78874.0000000,78896.0000000,7409
20200320,111100,78900.0000000,78905.0000000,78736.0000000,78763.0000000,14980
20200320,111200,78764.0000000,78814.0000000,78678.0000000,78786.0000000,14496
20200320,111300,78786.0000000,78823.0000000,78735.0000000,78788.0000000,6829
20200320,111400,78793.0000000,78800.0000000,78606.0000000,78664.0000000,16572
20200320,111500,78661.0000000,78728.0000000,78615.0000000,78720.0000000,10906
20200320,111600,78721.0000000,78795.0000000,78687.0000000,78749.0000000,10309
20200320,111700,78750.0000000,78759.0000000,78600.0000000,78600.0000000,20546
20200320,111800,78600.0000000,78666.0000000,78527.0000000,78565.0000000,21301
20200320,111900,78565.0000000,78614.0000000,78500.0000000,78601.0000000,11296
20200320,112000,78603.0000000,78767.0000000,78597.0000000,78657.0000000,17569
20200320,112100,78651.0000000,78713.0000000,78606.0000000,78682.0000000,9621
20200320,112200,78673.0000000,78722.0000000,78600.0000000,78671.0000000,5403
20200320,112300,78671.0000000,78697.0000000,78619.0000000,78684.0000000,2512
20200320,112400,78685.0000000,78709.0000000,78651.0000000,78690.0000000,5126
20200320,112500,78686.0000000,78792.0000000,78670.0000000,78766.0000000,11565
20200320,112600,78764.0000000,78787.0000000,78661.0000000,78713.0000000,12800
20200320,112700,78712.0000000,78788.0000000,78626.0000000,78775.0000000,5866
20200320,112800,78776.0000000,78855.0000000,78720.0000000,78740.0000000,11518
20200320,112900,78740.0000000,78876.0000000,78705.0000000,78845.0000000,6378
20200320,113000,78842.0000000,78871.0000000,78757.0000000,78778.0000000,6812
20200320,113100,78779.0000000,78875.0000000,78751.0000000,78833.0000000,5591
20200320,113200,78823.0000000,78910.0000000,78802.0000000,78889.0000000,6351
20200320,113300,78898.0000000,79052.0000000,78860.0000000,79014.0000000,12256
20200320,113400,79013.0000000,79025.0000000,78920.0000000,78968.0000000,6589
20200320,113500,78972.0000000,78987.0000000,78856.0000000,78892.0000000,2398
20200320,113600,78901.0000000,78902.0000000,78814.0000000,78871.0000000,3393
20200320,113700,78876.0000000,79000.0000000,78870.0000000,78993.0000000,7212
20200320,113800,78993.0000000,78993.0000000,78900.0000000,78936.0000000,3569
20200320,113900,78927.0000000,78979.0000000,78813.0000000,78813.0000000,4679
20200320,114000,78823.0000000,78851.0000000,78700.0000000,78727.0000000,5173
20200320,114100,78728.0000000,78831.0000000,78708.0000000,78831.0000000,4504
20200320,114200,78820.0000000,78866.0000000,78788.0000000,78830.0000000,4268
20200320,114300,78821.0000000,78887.0000000,78781.0000000,78877.0000000,2433
20200320,114400,78876.0000000,78944.0000000,78870.0000000,78927.0000000,1740
20200320,114500,78916.0000000,78999.0000000,78871.0000000,78980.0000000,5929
20200320,114600,78976.0000000,79000.0000000,78906.0000000,78936.0000000,4276
20200320,114700,78931.0000000,78932.0000000,78829.0000000,78840.0000000,5403
20200320,114800,78840.0000000,78908.0000000,78839.0000000,78874.0000000,4651
20200320,114900,78868.0000000,78927.0000000,78849.0000000,78915.0000000,2088
20200320,115000,78912.0000000,78938.0000000,78850.0000000,78858.0000000,3350
20200320,115100,78861.0000000,78913.0000000,78845.0000000,78862.0000000,3245
20200320,115200,78862.0000000,78877.0000000,78784.0000000,78804.0000000,4086
20200320,115300,78800.0000000,78867.0000000,78787.0000000,78800.0000000,3322
20200320,115400,78799.0000000,78829.0000000,78772.0000000,78791.0000000,2339
20200320,115500,78788.0000000,78881.0000000,78782.0000000,78866.0000000,3104
20200320,115600,78871.0000000,78900.0000000,78835.0000000,78879.0000000,3243
20200320,115700,78878.0000000,78880.0000000,78836.0000000,78866.0000000,2559
20200320,115800,78862.0000000,78864.0000000,78736.0000000,78741.0000000,6858
20200320,115900,78743.0000000,78808.0000000,78717.0000000,78761.0000000,5886
20200320,120000,78762.0000000,78873.0000000,78753.0000000,78853.0000000,6247
20200320,120100,78853.0000000,78868.0000000,78759.0000000,78767.0000000,5889
20200320,120200,78766.0000000,78853.0000000,78733.0000000,78846.0000000,2337
20200320,120300,78842.0000000,78860.0000000,78803.0000000,78814.0000000,1742
20200320,120400,78825.0000000,78875.0000000,78806.0000000,78860.0000000,2427
20200320,120500,78859.0000000,78878.0000000,78819.0000000,78865.0000000,2367
20200320,120600,78866.0000000,78903.0000000,78750.0000000,78759.0000000,4183
20200320,120700,78758.0000000,78808.0000000,78664.0000000,78713.0000000,8049
20200320,120800,78703.0000000,78737.0000000,78662.0000000,78729.0000000,5582
20200320,120900,78724.0000000,78767.0000000,78702.0000000,78723.0000000,1885
20200320,121000,78726.0000000,78775.0000000,78658.0000000,78673.0000000,4519
20200320,121100,78677.0000000,78685.0000000,78599.0000000,78646.0000000,5190
20200320,121200,78646.0000000,78711.0000000,78625.0000000,78687.0000000,3971
20200320,121300,78694.0000000,78725.0000000,78655.0000000,78655.0000000,2580
20200320,121400,78654.0000000,78832.0000000,78617.0000000,78819.0000000,5846
20200320,121500,78812.0000000,78812.0000000,78722.0000000,78791.0000000,3842
20200320,121600,78778.0000000,78817.0000000,78755.0000000,78806.0000000,4775
20200320,121700,78810.0000000,78820.0000000,78747.0000000,78767.0000000,3164
20200320,121800,78763.0000000,78850.0000000,78754.0000000,78819.0000000,2677
20200320,121900,78819.0000000,78861.0000000,78793.0000000,78800.0000000,2878
20200320,122000,78805.0000000,78836.0000000,78792.0000000,78800.0000000,2855
20200320,122100,78793.0000000,78826.0000000,78764.0000000,78785.0000000,3453
20200320,122200,78784.0000000,78858.0000000,78762.0000000,78834.0000000,3750
20200320,122300,78838.0000000,78943.0000000,78828.0000000,78848.0000000,4617
20200320,122400,78853.0000000,78867.0000000,78801.0000000,78805.0000000,2329
20200320,122500,78810.0000000,78834.0000000,78755.0000000,78830.0000000,3424
20200320,122600,78829.0000000,78835.0000000,78724.0000000,78752.0000000,2944
20200320,122700,78752.0000000,78792.0000000,78737.0000000,78776.0000000,1829
20200320,122800,78774.0000000,78804.0000000,78733.0000000,78765.0000000,3079
20200320,122900,78770.0000000,78816.0000000,78768.0000000,78786.0000000,4420
20200320,123000,78784.0000000,78829.0000000,78765.0000000,78817.0000000,5790
20200320,123100,78813.0000000,78891.0000000,78775.0000000,78891.0000000,6099
20200320,123200,78891.0000000,78891.0000000,78806.0000000,78882.0000000,3485
20200320,123300,78882.0000000,78959.0000000,78870.0000000,78918.0000000,3325
20200320,123400,78923.0000000,78965.0000000,78897.0000000,78932.0000000,4946
20200320,123500,78938.0000000,78977.0000000,78905.0000000,78973.0000000,2564
20200320,123600,78975.0000000,79014.0000000,78912.0000000,78948.0000000,5770
20200320,123700,78948.0000000,78998.0000000,78929.0000000,78992.0000000,2530
20200320,123800,78992.0000000,79065.0000000,78976.0000000,79045.0000000,3479
20200320,123900,79039.0000000,79050.0000000,78973.0000000,79002.0000000,2413
20200320,124000,79003.0000000,79097.0000000,78997.0000000,79070.0000000,4300
20200320,124100,79070.0000000,79091.0000000,79030.0000000,79043.0000000,3993
20200320,124200,79035.0000000,79082.0000000,78985.0000000,78998.0000000,2499
20200320,124300,78998.0000000,79049.0000000,78974.0000000,79020.0000000,7047
20200320,124400,79017.0000000,79049.0000000,78974.0000000,79045.0000000,2719
20200320,124500,79050.0000000,79135.0000000,79030.0000000,79111.0000000,5497
20200320,124600,79111.0000000,79130.0000000,79015.0000000,79031.0000000,5287
20200320,124700,79030.0000000,79073.0000000,79000.0000000,79030.0000000,3422
20200320,124800,79030.0000000,79042.0000000,78941.0000000,78958.0000000,6725
20200320,124900,78955.0000000,78990.0000000,78913.0000000,78943.0000000,4387
20200320,125000,78943.0000000,78982.0000000,78888.0000000,78937.0000000,5053
20200320,125100,78938.0000000,78951.0000000,78783.0000000,78804.0000000,7621
20200320,125200,78804.0000000,78880.0000000,78755.0000000,78778.0000000,6753
20200320,125300,78779.0000000,78830.0000000,78761.0000000,78776.0000000,2662
20200320,125400,78779.0000000,78805.0000000,78726.0000000,78758.0000000,3340
20200320,125500,78762.0000000,78832.0000000,78742.0000000,78819.0000000,3263
20200320,125600,78819.0000000,78838.0000000,78774.0000000,78814.0000000,4349
20200320,125700,78810.0000000,78866.0000000,78771.0000000,78857.0000000,6038
20200320,125800,78858.0000000,78878.0000000,78829.0000000,78850.0000000,3873
20200320,125900,78850.0000000,78911.0000000,78836.0000000,78888.0000000,3865
20200320,130000,78887.0000000,78901.0000000,78848.0000000,78885.0000000,4072
20200320,130100,78885.0000000,78929.0000000,78863.0000000,78909.0000000,2545
20200320,130200,78903.0000000,78923.0000000,78881.0000000,78893.0000000,1041
20200320,130300,78882.0000000,78932.0000000,78872.0000000,78898.0000000,1952
20200320,130400,78901.0000000,78994.0000000,78901.0000000,78941.0000000,2039
20200320,130500,78944.0000000,78975.0000000,78914.0000000,78964.0000000,2428
20200320,130600,78964.0000000,79042.0000000,78945.0000000,79002.0000000,6583
20200320,130700,79005.0000000,79072.0000000,78984.0000000,78990.0000000,3200
20200320,130800,78989.0000000,79003.0000000,78938.0000000,78970.0000000,5493
20200320,130900,78976.0000000,79060.0000000,78949.0000000,79045.0000000,4626
20200320,131000,79041.0000000,79169.0000000,79036.0000000,79115.0000000,10773
20200320,131100,79118.0000000,79148.0000000,79085.0000000,79099.0000000,4814
20200320,131200,79104.0000000,79121.0000000,79055.0000000,79087.0000000,4030
20200320,131300,79092.0000000,79200.0000000,79082.0000000,79163.0000000,5036
20200320,131400,79158.0000000,79214.0000000,79149.0000000,79191.0000000,5892
20200320,131500,79191.0000000,79200.0000000,79154.0000000,79191.0000000,2754
20200320,131600,79190.0000000,79336.0000000,79190.0000000,79325.0000000,11661
20200320,131700,79325.0000000,79390.0000000,79276.0000000,79371.0000000,8508
